epoch,accuracy,loss,val_accuracy,val_loss
0,0.32698962092399597,1.6243999004364014,0.5475543737411499,1.398166537284851
1,0.5472894906997681,1.3258613348007202,0.7567934989929199,1.1055514812469482
2,0.7191464900970459,1.0482394695281982,0.832880437374115,0.8541612029075623
3,0.7860438227653503,0.8291041851043701,0.8777173757553101,0.6558111906051636
4,0.8379469513893127,0.652349591255188,0.9130434989929199,0.5189929604530334
5,0.8587082028388977,0.5659320950508118,0.92527174949646,0.42879801988601685
6,0.8806228637695312,0.48408499360084534,0.938858687877655,0.36515218019485474
7,0.8858131766319275,0.43249720335006714,0.9375,0.322404682636261
8,0.9019607901573181,0.3901689946651459,0.94701087474823,0.28850314021110535
9,0.9100345969200134,0.3622502088546753,0.9524456262588501,0.26840242743492126
10,0.919838547706604,0.33821362257003784,0.9524456262588501,0.25056686997413635
11,0.9336793422698975,0.30065661668777466,0.95652174949646,0.23538610339164734
12,0.9325259327888489,0.288997620344162,0.957880437374115,0.22323761880397797
13,0.9400230646133423,0.26496946811676025,0.9646739363670349,0.20705366134643555
14,0.9290657639503479,0.26738545298576355,0.9551630616188049,0.2055066078901291
15,0.9417531490325928,0.2474016696214676,0.95923912525177,0.1996474415063858
16,0.9486736059188843,0.23579846322536469,0.9551630616188049,0.1966809779405594
17,0.9521337747573853,0.21650607883930206,0.960597813129425,0.1902545988559723
18,0.9475201964378357,0.21449871361255646,0.95652174949646,0.18474309146404266
19,0.9636678099632263,0.1918240338563919,0.957880437374115,0.18341569602489471
20,0.9584774971008301,0.19853518903255463,0.960597813129425,0.1776818037033081
21,0.967704713344574,0.18099373579025269,0.95923912525177,0.17768044769763947
22,0.9613609910011292,0.20158281922340393,0.957880437374115,0.1743374466896057
23,0.9711649417877197,0.16332045197486877,0.957880437374115,0.17351295053958893
24,0.9648212194442749,0.17402346432209015,0.95652174949646,0.171670600771904
25,0.9613609910011292,0.18149590492248535,0.957880437374115,0.16934117674827576
26,0.9740484356880188,0.1548551470041275,0.957880437374115,0.16723595559597015
27,0.9780853390693665,0.13752450048923492,0.95652174949646,0.16699793934822083
28,0.9752018451690674,0.14189553260803223,0.9619565010070801,0.16369202733039856
29,0.9757785201072693,0.1383204162120819,0.957880437374115,0.1655677855014801
